"name","conditions_serialized","is_active","apply_to"
"LUMA B2C Guest Customers","{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Combine\\Root"",""attribute"":null,""operator"":null,""value"":""1"",""is_value_processed"":null,""aggregator"":""all""}",1,2
"LUMA B2C Registered Customers","{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Combine\\Root"",""attribute"":null,""operator"":null,""value"":""1"",""is_value_processed"":null,""aggregator"":""all""}",1,1
"LUMA Rewards - Bronze ($250 - $500)","{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Combine\\Root"",""attribute"":null,""operator"":null,""value"":""1"",""is_value_processed"":null,""aggregator"":""all"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Sales\\Salesamount"",""attribute"":""total"",""operator"":"">="",""value"":""250"",""is_value_processed"":null,""aggregator"":""all""},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Sales\\Salesamount"",""attribute"":""total"",""operator"":""<="",""value"":""500"",""is_value_processed"":null,""aggregator"":""all""},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Customer\\Attributes"",""attribute"":""group_id"",""operator"":""!="",""value"":""_customerGroup_VIP"",""is_value_processed"":false}]}",1,1
"LUMA Rewards - Silver ($500 - $1000)","{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Combine\\Root"",""attribute"":null,""operator"":null,""value"":""1"",""is_value_processed"":null,""aggregator"":""all"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Sales\\Salesamount"",""attribute"":""total"",""operator"":"">="",""value"":""500"",""is_value_processed"":null,""aggregator"":""all""},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Sales\\Salesamount"",""attribute"":""total"",""operator"":""<="",""value"":""1000"",""is_value_processed"":null,""aggregator"":""all""},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Customer\\Attributes"",""attribute"":""group_id"",""operator"":""!="",""value"":""_customerGroup_VIP"",""is_value_processed"":false}]}",1,1
"LUMA Rewards - Gold ($1000-$2000)","{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Combine\\Root"",""attribute"":null,""operator"":null,""value"":""1"",""is_value_processed"":null,""aggregator"":""all"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Sales\\Salesamount"",""attribute"":""total"",""operator"":"">="",""value"":""1000"",""is_value_processed"":null,""aggregator"":""all""},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Sales\\Salesamount"",""attribute"":""total"",""operator"":""<="",""value"":""2000"",""is_value_processed"":null,""aggregator"":""all""},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Customer\\Attributes"",""attribute"":""group_id"",""operator"":""!="",""value"":""_customerGroup_VIP"",""is_value_processed"":false}]}",1,1
"LUMA Rewards - Platinum ($2000+)","{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Combine\\Root"",""attribute"":null,""operator"":null,""value"":""1"",""is_value_processed"":null,""aggregator"":""any"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Sales\\Salesamount"",""attribute"":""total"",""operator"":"">="",""value"":""2000"",""is_value_processed"":null,""aggregator"":""all""},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Customer\\Attributes"",""attribute"":""group_id"",""operator"":""=="",""value"":""4"",""is_value_processed"":false}]}",1,1
"Purchase History - Apparel Purchased in the Last Week","{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Combine\\Root"",""attribute"":null,""operator"":null,""value"":""1"",""is_value_processed"":null,""aggregator"":""all"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Product\\Combine\\History"",""attribute"":null,""operator"":""=="",""value"":""ordered_history"",""is_value_processed"":null,""aggregator"":""any"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Product\\Attributes"",""attribute"":""attribute_set_id"",""operator"":""=="",""value"":""_attributeSet_Top"",""is_value_processed"":false},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Product\\Attributes"",""attribute"":""attribute_set_id"",""operator"":""=="",""value"":""_attributeSet_Bottom"",""is_value_processed"":false}]},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Product\\Combine\\History"",""attribute"":null,""operator"":""=="",""value"":""ordered_history"",""is_value_processed"":null,""aggregator"":""all"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Uptodate"",""attribute"":false,""operator"":"">="",""value"":""7"",""is_value_processed"":false}]}]}",1,1
"Purchase History - Men Who Have Viewed Pants","{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Combine\\Root"",""attribute"":null,""operator"":null,""value"":""1"",""is_value_processed"":null,""aggregator"":""all"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Customer\\Attributes"",""attribute"":""gender"",""operator"":""=="",""value"":""_customerAttribute_gender_Male"",""is_value_processed"":false},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Product\\Combine\\History"",""attribute"":null,""operator"":""=="",""value"":""viewed_history"",""is_value_processed"":null,""aggregator"":""all"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Product\\Attributes"",""attribute"":""category_ids"",""operator"":""=="",""value"":""_category_pants-men"",""is_value_processed"":false}]}]}",1,1
"Purchase History - VIP Customers","{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Combine\\Root"",""attribute"":null,""operator"":null,""value"":""1"",""is_value_processed"":null,""aggregator"":""any"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Sales\\Ordersnumber"",""attribute"":""total"",""operator"":"">="",""value"":""500"",""is_value_processed"":null,""aggregator"":""any"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Order\\Status"",""attribute"":false,""operator"":""=="",""value"":""complete"",""is_value_processed"":false},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Order\\Status"",""attribute"":false,""operator"":""=="",""value"":""processing"",""is_value_processed"":false}]},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Sales\\Salesamount"",""attribute"":""total"",""operator"":"">="",""value"":""10000"",""is_value_processed"":null,""aggregator"":""all""},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Customer\\Attributes"",""attribute"":""group_id"",""operator"":""=="",""value"":""_customerGroup_VIP"",""is_value_processed"":false}]}",1,1
"Purchase History - Female Repeat Customers (Neve Studio Dance Jacket)","{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Combine\\Root"",""attribute"":null,""operator"":null,""value"":""1"",""is_value_processed"":null,""aggregator"":""all"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Sales\\Ordersnumber"",""attribute"":""total"",""operator"":""=="",""value"":""1"",""is_value_processed"":null,""aggregator"":""all""},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Product\\Combine\\History"",""attribute"":null,""operator"":""=="",""value"":""ordered_history"",""is_value_processed"":null,""aggregator"":""all"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Product\\Attributes"",""attribute"":""sku"",""operator"":""{}"",""value"":""WJ11"",""is_value_processed"":false}]}]}",1,1
"Customer Preference - Runners","{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Combine\\Root"",""attribute"":null,""operator"":null,""value"":""1"",""is_value_processed"":null,""aggregator"":""all"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Customer\\Attributes"",""attribute"":""preferred_activities"",""operator"":""[]"",""value"":[""_customerAttribute_preferred_activities_Running""],""is_value_processed"":false}]}",1,1
"Shopping Cart - Free Shipping Threshold ($75 - $99)","{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Combine\\Root"",""attribute"":null,""operator"":null,""value"":""1"",""is_value_processed"":null,""aggregator"":""all"",""conditions"":[{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Shoppingcart\\Amount"",""attribute"":""subtotal"",""operator"":"">="",""value"":""75"",""is_value_processed"":false},{""type"":""Magento\\CustomerSegment\\Model\\Segment\\Condition\\Shoppingcart\\Amount"",""attribute"":""subtotal"",""operator"":""<"",""value"":""100"",""is_value_processed"":false}]}",1,1